exp_id,condition,species_id,f1,precision,recall,scientific_name
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,B,1406863,0.5390849673202615,,,Acalypha indica L.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,B,1408490,0.6793650793650793,,,Pereskia grandifolia Haw.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,B,1408557,0.5654761904761905,,,Pongamia pinnata (L.) Pierre
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,B,1409195,0.5697191697191698,,,Pereskia aculeata Mill.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,B,1416509,0.8296296296296296,,,Nepenthes vieillardii Hook. f.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,B,1419807,0.5476190476190476,,,Vanilla planifolia Jacks. ex Andrews
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,B,1420787,0.8549019607843137,,,Alocasia odora (Lindl.) K.Koch
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,B,1618661,0.8714285714285714,,,Dendrobium victoriae-reginae Loher
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,C,1356076,0.21794871794871795,,,Tradescantia zebrina Heynh. ex Bosse
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,C,1376703,0.5871794871794872,,,Petiveria alliacea L.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,C,1384499,0.7566137566137566,,,Lagenaria siceraria (Molina) Standl.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,C,1385700,0.6909805170674735,,,Barringtonia asiatica (L.) Kurz
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,C,1392654,0.7517921146953405,,,Gomphocarpus physocarpus E.Mey.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,C,1397598,0.7177363699102829,,,Cobaea scandens Cav.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,C,1406486,0.5587301587301587,,,Kigelia africana (Lam.) Benth.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,C,1406863,0.5466369379412858,,,Acalypha indica L.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,C,1408490,0.5637426900584795,,,Pereskia grandifolia Haw.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,C,1408557,0.435932827237175,,,Pongamia pinnata (L.) Pierre
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,C,1409195,0.48055555555555557,,,Pereskia aculeata Mill.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,C,1416509,0.8148148148148148,,,Nepenthes vieillardii Hook. f.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,C,1419807,0.4814814814814814,,,Vanilla planifolia Jacks. ex Andrews
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,C,1420787,0.8553921568627452,,,Alocasia odora (Lindl.) K.Koch
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,C,1618661,0.8571428571428571,,,Dendrobium victoriae-reginae Loher
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,D,1356076,0.20350877192982456,,,Tradescantia zebrina Heynh. ex Bosse
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,D,1376703,0.5484848484848485,,,Petiveria alliacea L.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,D,1384499,0.7871604938271606,,,Lagenaria siceraria (Molina) Standl.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,D,1385700,0.6763285024154588,,,Barringtonia asiatica (L.) Kurz
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,D,1392654,0.7733543417366947,,,Gomphocarpus physocarpus E.Mey.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,D,1397598,0.8153717627401837,,,Cobaea scandens Cav.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,D,1406486,0.43956043956043955,,,Kigelia africana (Lam.) Benth.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,D,1406863,0.5604040404040403,,,Acalypha indica L.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,D,1408490,0.6607531901649549,,,Pereskia grandifolia Haw.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,D,1408557,0.529040404040404,,,Pongamia pinnata (L.) Pierre
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,D,1409195,0.556372549019608,,,Pereskia aculeata Mill.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,D,1416509,0.7313131313131315,,,Nepenthes vieillardii Hook. f.
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,D,1419807,0.6626984126984127,,,Vanilla planifolia Jacks. ex Andrews
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,D,1420787,0.7851540616246497,,,Alocasia odora (Lindl.) K.Koch
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,D,1618661,0.8857142857142857,,,Dendrobium victoriae-reginae Loher
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,A,1356076,0.17777777777777778,0.17777777777777778,0.19999999999999998,Tradescantia zebrina Heynh. ex Bosse
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,A,1376703,0.4481481481481482,0.5222222222222223,0.4000000000000001,Petiveria alliacea L.
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,A,1384499,0.7956315289648623,0.7405372405372406,0.8611111111111112,Lagenaria siceraria (Molina) Standl.
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,A,1385700,0.7886382623224728,0.7811447811447811,0.8000000000000002,Barringtonia asiatica (L.) Kurz
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,A,1392654,0.8355471220746363,0.746078431372549,0.9523809523809524,Gomphocarpus physocarpus E.Mey.
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,A,1397598,0.7770942507784614,0.7609427609427609,0.8000000000000002,Cobaea scandens Cav.
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,A,1406486,0.5142070863433092,0.5638888888888888,0.48148148148148145,Kigelia africana (Lam.) Benth.
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,A,1406863,0.4599922261091676,0.4678571428571428,0.4615384615384615,Acalypha indica L.
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,A,1408490,0.6157407407407408,0.6455026455026456,0.5925925925925927,Pereskia grandifolia Haw.
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,A,1408557,0.6129629629629629,0.6071428571428571,0.625,Pongamia pinnata (L.) Pierre
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,A,1409195,0.4269434269434269,0.3975468975468975,0.4761904761904761,Pereskia aculeata Mill.
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,A,1416509,0.8962962962962964,0.9333333333333332,0.8666666666666667,Nepenthes vieillardii Hook. f.
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,A,1419807,0.49206349206349204,1.0,0.3333333333333333,Vanilla planifolia Jacks. ex Andrews
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,A,1420787,0.9607843137254902,0.9259259259259259,1.0,Alocasia odora (Lindl.) K.Koch
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,A,1618661,0.8714285714285714,0.8454545454545456,0.9,Dendrobium victoriae-reginae Loher
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,B,1356076,0.22685185185185186,0.2638888888888889,0.20000000000000004,Tradescantia zebrina Heynh. ex Bosse
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,B,1376703,0.5538461538461538,0.525,0.6,Petiveria alliacea L.
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,B,1384499,0.738450486295314,0.6371148459383753,0.8888888888888888,Lagenaria siceraria (Molina) Standl.
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,B,1385700,0.6178266178266177,0.5052910052910052,0.8000000000000002,Barringtonia asiatica (L.) Kurz
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,B,1392654,0.7758838383838383,0.679337231968811,0.9047619047619048,Gomphocarpus physocarpus E.Mey.
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,B,1397598,0.7304347826086955,0.6769230769230768,0.8000000000000002,Cobaea scandens Cav.
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,B,1406486,0.4568627450980392,0.5238095238095238,0.4074074074074074,Kigelia africana (Lam.) Benth.
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,B,1406863,0.5764617691154422,0.6589285714285714,0.5384615384615384,Acalypha indica L.
